num_header_lines	Number of header lines		int	117
num_data_header_lines	Number of data header lines (column description)		int	2
data_start	Line number of data start (0-based)		int	119
file_format_version	Version of the file format		int	2
channel	The used channel number	pot	int	1
device	The used device number	pot	int	1
save_data	Whether to save the data or not	Iongauge value	bool	true
save_interval	The minimum time between saved values	Iongauge value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	Iongauge value	bool	true
color	color	Iongauge value	int	2062260
save_data	Whether to save the data or not	MFC1 setpoint	bool	true
save_interval	The minimum time between saved values	MFC1 setpoint	double	1000.0
subscribe	Whether to send events out on the web API for this channel	MFC1 setpoint	bool	true
color	color	MFC1 setpoint	int	16744206
save_data	Whether to save the data or not	MFC1 value	bool	true
save_interval	The minimum time between saved values	MFC1 value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	MFC1 value	bool	true
color	color	MFC1 value	int	2924588
save_data	Whether to save the data or not	MFC2 setpoint	bool	true
save_interval	The minimum time between saved values	MFC2 setpoint	double	1000.0
subscribe	Whether to send events out on the web API for this channel	MFC2 setpoint	bool	true
color	color	MFC2 setpoint	int	14034728
save_data	Whether to save the data or not	MFC2 value	bool	true
save_interval	The minimum time between saved values	MFC2 value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	MFC2 value	bool	true
color	color	MFC2 value	int	9725885
save_data	Whether to save the data or not	PC setpoint	bool	true
save_interval	The minimum time between saved values	PC setpoint	double	1000.0
subscribe	Whether to send events out on the web API for this channel	PC setpoint	bool	true
color	color	PC setpoint	int	9197131
save_data	Whether to save the data or not	PC value	bool	true
save_interval	The minimum time between saved values	PC value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	PC value	bool	true
color	color	PC value	int	14907330
save_data	Whether to save the data or not	Pirani1 value	bool	true
save_interval	The minimum time between saved values	Pirani1 value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	Pirani1 value	bool	true
color	color	Pirani1 value	int	8355711
save_data	Whether to save the data or not	Pirani2 value	bool	true
save_interval	The minimum time between saved values	Pirani2 value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	Pirani2 value	bool	true
color	color	Pirani2 value	int	12369186
save_data	Whether to save the data or not	Pirani3 value	bool	true
save_interval	The minimum time between saved values	Pirani3 value	double	1000.0
subscribe	Whether to send events out on the web API for this channel	Pirani3 value	bool	true
color	color	Pirani3 value	int	1556175
mass	Measurement mass	C0M2	double	2.0
lead_in_multiplier	Lead in multiplier	C0M2	int	1
dwell_time	Dwell time [ms]	C0M2	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C0M2	string	H2
subscribe	Whether to send events out on the web API for this channel	C0M2	bool	true
color	color	C0M2	int	2062260
mass	Measurement mass	C1M4	double	4.0
lead_in_multiplier	Lead in multiplier	C1M4	int	1
dwell_time	Dwell time [ms]	C1M4	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C1M4	string	He
subscribe	Whether to send events out on the web API for this channel	C1M4	bool	true
color	color	C1M4	int	14907330
mass	Measurement mass	C2M18	double	18.0
